Oversikt over snøskredulykker;;;;;http://www.varsom.no/Util/login.aspx?ReturnUrl=/varsomui;;;;http://tst-www.varsom.no/Util/login.aspx?ReturnUrl=%2fvarsomui;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;GULMERKET: Celler med døde eller ukjent involverte;;;;;;;;;Hei igjen;;totalt ant.;;;;;;;"S Sender,Søkestand, Spade
I Ingen
? Ukjent";;vedvarende svakt lag hvis dette er bekreftet. Ellers bruk flakskred om dette er kjent. Alt. Skavl, løssnøskred, ukjent;;;;;;;;;;;;;;;;
Blå kolonner skal vises i sesongliste på varsom. Røde er obligatoriske.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dato;Døde;Skredtatte;Aktivitet;Utløst;Sted;Kommune;Fylke;regobs.no regID;varsom.no nyhet eller rapport;Beskrivelse;Involvert;"Skadet/
omkommet";"Totalt 
begravd";"Delvis
begravd";"Tatt, 
men ikke
 begravd";"Nære på,
 men ikke 
tatt";Najonalitet;"Alder
(-årene)";Skredutstyr;"Middels til 
mye erfaring";type skred;skred-størrelse;guide;;;;;;;;;;;;;;
31.05.20;0;0;Ski;M;Storbrean;Lom;Oppl.;237644;;Skiløperutløst str.1 skred. Ingen tatt.;1;;;;;1;;;;;flakskred;1;;;;;;;;;;;;;;;
25.05.20;0;0;Ski;M;Cahppescohkka;Narvik;Nord.;236698;;Skiløperutløst str.1,5 skred. En tatt med, men kjørte ut av flaket;1;;;;1;;;;;;flakskred;1.5;;;;;;;;;;;;;;;
24.05.20;1;1;Ski;M;Gråfonnfjellet;Rauma;M&R;236852;;Skikjører omkom i snøskred.;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
22.05.20;0;1;Ski;M;Steindalen;Lyngen;Troms;236885;;Skiløperutløst lite vått skred.Delvis begravd og klemt fast. Kom seg løs etter 5 timer!!;1;;;1;;;;;;;vått løssnøskred;1;;;;;;;;;;;;;;;
21.05.20;0;1;Ski;M;Blånebba;Rauma;M&R;236436;;Skiløperutløst skred. En tatt og fraktet i oveflaten. Mistet ei ski og knekt stav. Ikke skadet.;1;;;;1;;;;;;vått løssnøskred;2;;;;;;;;;;;;;;;
21.05.20;0;0;Ski;M;Buren;Tromsø;Troms;236464;;Skiløperutløst vått løssnøskred. Ingen tatt.;1;;;;;1;;;;;vått løssnøskred;1.5;;;;;;;;;;;;;;;
21.05.20;0;1;Ski;M;Grytøya;Harstad;Nord.;236431;;Skiløperutløst vått løssnøskred. En tatt, ikke skadet.;1;;;;1;;;;;;vått løssnøskred;1;;;;;;;;;;;;;;;
19.05.20;0;0;Ski;M;Frostdalsnosi;Lærdal;S&F;236238;;Fjernutløst skred  av tre skiløpere. Skispor inn og ut av skredet, ingen tatt. ;3;;;;;3;;;;;flakskred;2;;;;;;;;;;;;;;;
16.05.20;0;3;Ski;M;Kvannskardvatna;Lurøy;Nord.;235925;;"Skiløperutløst skred; 2-3 tatt, ikek skadet";3;;;;3;;;;;;flakskred;2;;;;;;;;;;;;;;;
16.05.20;0;3;Ski;M;Geitgaljen;Vågan;Nord.;235884;;Skiløperutløst skred. Skredet traff tre andre som ble ført ut i renne og delvis begravd. En skadet.;7;1;;2;4;;;;;;flakskred;3;;;;;;;;;;;;;;;
16.05.20;0;2;Ski;M;Helligtinden;Tjeldsund;Nord.;235923;;Skiløperutløst skred. 2 tatt. En delvis begravd. Muligens skader?;2;;;1;1;;;;;;flakskred;2;;;;;;;;;;;;;;;
16.05.20;0;1;Ski;M;Jonslettind;Kvænangen ;Finn.;235903;;Skiløperutløst skred. En tatt. Ikke skadet.;1;;;;1;;;;;;flakskred;2;;;;;;;;;;;;;;;
15.05.20;0;1;Ski;M;Svarthetta;Hemsedal;Busk.;235781;;Skiløperutløst skred. En tatt. Ikke skadet.;1;;;;1;;;;;;flakskred;2;;;;;;;;;;;;;;;
15.05.20;0;2;Ski;M;Hestebottfjellet;Hemsedal;Busk.;235767;;To skiløpere løste ut og tatt av skred i renne.Skadet. Hentet ut med helikopter.;2;2;;;;;;;;;flakskred;2;;;;;;;;;;;;;;;
14.05.20;0;1;Ski;M;Elvevolldalen;Storfjord;Troms;235721;;Skiløperutløst str.3 skred.Ingen tatt.;1;;;;;1;;;;;flakskred;3;;;;;;;;;;;;;;;
13.05.20;0;1;Ski;M;Solemsetra;Aure;M&R;234545;;Skiløper tatt av skred i renne.;2;;;;1;;;;;;flakskred;2;;;;;;;;;;;;;;;
11.05.20;0;1;Ski;M;Isskardtindane;Lyngen;Troms;234335;;Skiløperutløst str.2 skred. En tatt. Ingen skadet. Utløste ballongsekk;1;;;;1;;;;;;flakskred;2;;;;;;;;;;;;;;;
10.05.20;0;1;Ski;M;Smalaktinden;Tromsø;Troms;234254;;Skiløperutløst vått str.2 vått løssnøskred. En tatt.;1;;;;1;;;;;;vått løssnøskred;2;;;;;;;;;;;;;;;
10.05.20;0;1;Ski offpist;M;Djevelberget;Tromsø;Troms;234228;;Skiløperutløst skred. En tatt og delvis begravd. Ikke skadet;2;;;1;;;;;;;flakskred;2;;;;;;;;;;;;;;;
