reg_id,aspect,height_start_zone,height_stop_zone,destructive_size_tid,avalanche_trigger_tid,avalanche_tid,terrain_start_zone_tid,utm_zone_stop,utm_east_stop,utm_north_stop,dt_avalanche_time,snow_line,utm_east_start,utm_north_Start,valid_exposition,aval_cause_tid,fracture_height,fracture_width,trajectory,geo_hazard_tid,activity_influenced_tid,damage_extent_tid,forecast_accurate_tid,dt_end_time,incident_header,incident_ingress,incident_text,sensitive_text,incident_url,registration_url,usage_flag_tid,comment,metadata_id,metadata_uri,metadata_type,dt_obs_time,dt_reg_time,deleted_date,dt_change_time,utm_east_reg,utm_north_reg,lat,lng,time
3449,0.0,0.0,0.0,1.0,21.0,20.0,0.0,,147763.0,6767186.0,/Date(1355839200000)/,,,,,,,,,,,,,,,,,,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(3449)/Registration,0.0,"Flere harmløse skred både ski utløst, og fjernutløst av skikjører. Skredene sklei av bratte sva.  Hengene hvor det gikk skred var på maks 10 høydemeter ",http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(3449),http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(3449),RegObsModel.AvalancheObs,/Date(1355788800000)/,/Date(1355864781110)/,,/Date(1355864781110)/,147764,6767191,60.881499229195796,8.504037395447906,2012-12-18 01:00:00.000
3591,0.0,1100.0,1130.0,1.0,21.0,20.0,20.0,,,,/Date(1356610860000)/,0.0,,,,,,,,,,,,,,,,,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(3591)/Registration,0.0,"Snøen løsnet i østvendt leheng av skitravers (en skiløper). Tilsvarende forhold kan finnes andre østvendte steder i området, selv om snøen var mye mer stabil lavere nede.",http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(3591),http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(3591),RegObsModel.AvalancheObs,/Date(1356566400000)/,/Date(1356697282973)/,,/Date(1356697282973)/,36597,6660558,59.8183824134237,6.722098279666612,2012-12-27 01:00:00.000
3755,0.0,1450.0,1300.0,3.0,21.0,20.0,20.0,,,,/Date(1357203600000)/,,,,,,,,,,,,,,,,,,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(3755)/Registration,0.0,Skred utløst av tre klatrere på anmarsj. En ble helt begravet og funnet etter to timer. Bruddkanten var over en meter ut fra det jeg kunne bedømme. Skredet var omlag 50 meter bregt og 200 meter langt. Blokkene/flaket var av fingerfast snø.,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(3755),http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(3755),RegObsModel.AvalancheObs,/Date(1357210080000)/,/Date(1357243310360)/,,/Date(1357243310360)/,158423,6765628,60.87700591841724,8.701954742469377,2013-01-03 10:00:00.000
3901,0.0,500.0,500.0,1.0,21.0,20.0,20.0,,,,/Date(1357637700000)/,450.0,,,,,,,,,,,,,,,,,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(3901)/Registration,0.0,Provoserte fram en liten utglidning i ei lita leside på ca 35 graders helning.,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(3901),http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(3901),RegObsModel.AvalancheObs,/Date(1357636326493)/,/Date(1357636404293)/,,/Date(1357636404293)/,635153,7648221,68.91161829223219,18.36724922775057,2013-01-08 10:12:06.493
5731,0.0,350.0,100.0,3.0,21.0,20.0,30.0,,,,/Date(1359291600000)/,,,,,,,,,,,,,,,,,,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(5731)/Registration,0.0,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(5731),http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(5731),RegObsModel.AvalancheObs,/Date(1359291600000)/,/Date(1359316105607)/,,/Date(1359316105607)/,776503,7789074,70.05842767743535,22.27958988286451,2013-01-27 14:00:00.000
6219,0.0,950.0,940.0,2.0,21.0,20.0,10.0,,603356.0,7591480.0,/Date(1359721800000)/,0.0,,,,,,,,,,,,,,,,,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(6219)/Registration,0.0,"Flere små flak av nye vindtransportert  snø (wind slabs) sleppt i brattheng under linken.
Snø som ligger under den nye fokksnø er av en spesielt lav densitet, og jeg tipse at grunn til ustabilitet er et enkelt ""density inversion"" - beklage men jeg vet ikke hvordan man utrykke det på norsk.",http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(6219),http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(6219),RegObsModel.AvalancheObs,/Date(1359722220000)/,/Date(1359722360380)/,,/Date(1359722360380)/,601828,7591904,68.4214272708163,17.48155631235046,2013-02-01 13:30:00.000
6377,0.0,0.0,0.0,3.0,21.0,20.0,0.0,,,,/Date(1359799200000)/,,,,,,,,,,,,,,,,,,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(6377)/Registration,0.0,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(6377),http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(6377),RegObsModel.AvalancheObs,/Date(1359799200000)/,/Date(1359806278923)/,,/Date(1359806278923)/,136517,6805142,61.209524785591505,8.226131525796887,2013-02-02 11:00:00.000
6514,0.0,1000.0,600.0,3.0,21.0,20.0,20.0,,204496.0,6958006.0,/Date(1359886560000)/,,,,,,,,,,,,,,,,,,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(6514)/Registration,0.0,Fjernutløste skredet på ca 2 km avstand,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(6514),http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(6514),RegObsModel.AvalancheObs,/Date(1359885600000)/,/Date(1359894110483)/,,/Date(1359894110483)/,204999,6958948,62.64185987612267,9.24061759590455,2013-02-03 11:00:00.000
6806,0.0,300.0,250.0,3.0,21.0,20.0,10.0,,,,/Date(1359817740000)/,,,,,,,,,,,,,,,,,,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(6806)/Registration,0.0,Nesten alle brattheng var trigget naturlig eller pga skuterkjøring. det største var opp i 300 meters bredde og alle har ca 1 meters bruddkant og glei på samme skarelag fra før jul,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(6806),http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(6806),RegObsModel.AvalancheObs,/Date(1359849600000)/,/Date(1360077186613)/,,/Date(1360077186613)/,821797,7795019,70.05778657615478,23.4785262773707,2013-02-02 16:09:00.000
7208,0.0,1040.0,980.0,3.0,21.0,20.0,10.0,,68096.0,6822017.0,/Date(1360243260000)/,,,,,,,,,,,,,,,,,,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(7208)/Registration,0.0,"Skred observert med kikkert på avstand. scooterspor både inn og ut av skred. (ovanfrå ned evt. omvendt) Det var også ""highmarking"" spor i henget like ved. Tidspunkt usikkert, men lokale fortel at det var scootertrafikk i området 7/2. ",http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(7208),http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(7208),RegObsModel.AvalancheObs,/Date(1360325700000)/,/Date(1360355345780)/,,/Date(1360355345780)/,68088,6822073,61.289247299397985,6.925772041996746,2013-02-07 14:21:00.000
7330,0.0,1200.0,0.0,2.0,21.0,20.0,10.0,,,,/Date(1360426440000)/,,,,,,,,,,,,,,,,,,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(7330)/Registration,0.0,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(7330),http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(7330),RegObsModel.AvalancheObs,/Date(1360426200000)/,/Date(1360451751150)/,,/Date(1360451751150)/,146611,6769350,60.89971501872853,8.478988723279667,2013-02-09 17:10:00.000
8055,0.0,600.0,550.0,3.0,21.0,0.0,10.0,,,,/Date(1361102400000)/,0.0,,,,,,,,,,,,,,,,,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(8055)/Registration,0.0,Skredet ble utløst av skikjørere. Det løsnet på et skarelag i et bratt sørvestvendt heng. Jeg har ikke tatt skredet i nærmere øyesyn med baserer infoen på det jeg ble fortalt og det jeg kunne se fra der jeg stod.,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(8055),http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(8055),RegObsModel.AvalancheObs,/Date(1361102400000)/,/Date(1361126324140)/,,/Date(1361126324140)/,3831,6729445,60.39027068985435,5.977854690802298,2013-02-17 13:00:00.000
8060,0.0,680.0,630.0,2.0,21.0,10.0,10.0,,,,/Date(1361109600000)/,100.0,,,,,,,,,,,,,,,,,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(8060)/Registration,0.0,"Mange våtelaussnøskred, både ski og naturlig utløyst skred. Godt føre:-)",http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(8060),http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(8060),RegObsModel.AvalancheObs,/Date(1361109900000)/,/Date(1361134995663)/,,/Date(1361134995663)/,83794,6825867,61.34043052344759,7.2077079346923405,2013-02-17 15:00:00.000
8439,0.0,1300.0,1280.0,1.0,21.0,20.0,20.0,,,,/Date(1361360160000)/,,,,,,,,,,,,,,,,,,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(8439)/Registration,0.0,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(8439),http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(8439),RegObsModel.AvalancheObs,/Date(1361360040000)/,/Date(1361408526720)/,,/Date(1361408526720)/,138838,6770720,60.90482164053284,8.334121091711122,2013-02-20 12:34:00.000
8552,0.0,0.0,0.0,3.0,21.0,20.0,10.0,,,,/Date(1361531040000)/,,,,,,,,,,,,,,,,,,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(8552)/Registration,0.0,har ikke nøyaktig posisjon,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(8552),http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(8552),RegObsModel.AvalancheObs,/Date(1361531040000)/,/Date(1361531200143)/,,/Date(1361531200143)/,61709,6835245,61.398978261504396,6.777103364238258,2013-02-22 12:04:00.000
8952,0.0,850.0,700.0,4.0,21.0,20.0,10.0,,66224.0,6895184.0,/Date(1361306100000)/,,,,,,,,,,,,,,,,,,,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(8952)/Registration,0.0,Leområde og brattheng med fleire ytlige steiner i området kring. ,http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(8952),http://api.nve.no/hydrology/RegObs/v3.2.0/OData.svc/AvalancheObs(8952),RegObsModel.AvalancheObs,/Date(1361801820000)/,/Date(1361825299103)/,,/Date(1361825299103)/,66107,6895264,61.93713750106221,6.71606199243498,2013-02-19 21:35:00.000
